title,company,location,link,source,date
C# Dotnet Developer,Crédit Agricole CIB,"Singapore, Singapore (Hybrid)",https://www.linkedin.com/jobs/view/4258614194/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aqJ2cbxeg%2BSYdLVX1PxPLg%3D%3D&trackingId=Vnghym%2Bcv5RBWf4CFwfTqg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Dot Net Developer,Cognizant,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4267717776/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aqJ2cbxeg%2BSYdLVX1PxPLg%3D%3D&trackingId=snaufZf%2FuzvEURp2jaqVoQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
C# FullStack Developer,Adecco,"Singapore, Singapore",https://www.linkedin.com/jobs/view/4275559491/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aqJ2cbxeg%2BSYdLVX1PxPLg%3D%3D&trackingId=yo2yzuza4DT9EObmbe8kQg%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Dotnet Developer,HCLTech,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4264330603/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aqJ2cbxeg%2BSYdLVX1PxPLg%3D%3D&trackingId=KcEISQeO2co3ZZmdU%2Bt9qA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,Talentsis Pte Ltd,"Singapore, Singapore (On-site)",https://www.linkedin.com/jobs/view/4273855159/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=aqJ2cbxeg%2BSYdLVX1PxPLg%3D%3D&trackingId=dTjnWNPkjYxL2sjgIXMUJQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Software Engineer,Unicast.ai,APAC (Remote),https://www.linkedin.com/jobs/view/4268071434/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=7KCW%2FAiLqfNesVJ9ZRxCng%3D%3D&trackingId=UqhZ0Nu55cuCHb8eQ4Ki5Q%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Experienced Software Engineer,Automattic,APAC (Remote),https://www.linkedin.com/jobs/view/4191117617/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=7KCW%2FAiLqfNesVJ9ZRxCng%3D%3D&trackingId=YtKbBFdpZmup%2B0CkVk%2Fg%2BQ%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Senior Backend Engineer (Remote EMEA or APAC),Jobgether,APAC (Remote),https://www.linkedin.com/jobs/view/4272862265/?eBP=CwEAAAGYa1-6EWlD83TEt1Kx83It6ncxN5gz61I7kKuv3e3WG-r9_WqxUn0YD2-Kbnla6hBnDUFEDxJ_PA4drUn8G2gUxN_zgqJaixfM-8q8ZI4HD2KXXKZVqCFmFgHQmX-jvnkKX4fGuR4Hj9apnCPeTS8zP2yQ4grTy-qwiiFCCw1PKS2FoAvE0T4Lx6SLEiNyjExKn-K8aw1Mx2UAYwguVADx7NsFbe8KseijtshjwGT6Eu-FlWnnM0R2UE-cRdoquRUkb-489zko0S8icjj1O_3XaRSG89Vj-HVLoE54ebppbAxRRxjdlylLD7T52XERkd1I_5aNqEIvf19R7AwDHJ6DiYWBOiXGipneL8n8VHGwG2r98VpwLfcDTGqO3oC60AtEzPtqfqg0JCz-ITy-GAuNzNRFBVptGAsDgI8Q&refId=7KCW%2FAiLqfNesVJ9ZRxCng%3D%3D&trackingId=%2B%2F9JlCaLND%2F7lMnx1gsUgw%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
ドットネットディベロッパー,CLPS Global,Greater Tokyo Area (On-site),https://www.linkedin.com/jobs/view/4270988287/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=7KCW%2FAiLqfNesVJ9ZRxCng%3D%3D&trackingId=d44DuK3cCYHcNCM896GuyA%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
Senior Software Engineer (Product Integrations),Testlio,APAC (Remote),https://www.linkedin.com/jobs/view/4277679908/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=7KCW%2FAiLqfNesVJ9ZRxCng%3D%3D&trackingId=E%2BeXxAq7rRvUL51CbmgQ8Q%3D%3D&trk=flagship3_search_srp_jobs,LinkedIn,2025-08-02
